157	Drew Eubanks\eubandr01	21	SAS	23	0	4.9	0.577	0.3	1.8	15.1	0.646	15.5	-1.9	0.7
158	Jacob Evans\evansja02	21	GSW	30	1	6.8	0.377	0.8	1.3	3.5	0.374	13.5	-6.9	-1.2
159	Jawun Evans\evansja01	22	TOT	8	0	8.1	0.214	1.3	0.8	0.1	0.214	13.2	-10.4	0.1
159	Jawun Evans\evansja01	22	PHO	7	0	9.1	0.231	1.4	0.9	0.7	0.231	12.7	-9.8	0.5
159	Jawun Evans\evansja01	22	OKC	1	0	1.0	0.000	0.0	0.0	-38.1	0.000	40.7	-52.4	-29.1
160	Tyreke Evans\evansty01	29	IND	69	18	20.3	0.448	2.4	10.2	11.5	0.483	26.4	-2.4	-0.3
161	Dante Exum\exumda01	23	UTA	42	1	15.8	0.456	2.6	6.9	11.2	0.516	21.3	-2.0	-0.1
162	Kenneth Faried\farieke01	29	TOT	37	13	19.7	0.604	0.5	10.4	21.6	0.622	20.3	1.3	-1.5
162	Kenneth Faried\farieke01	29	BRK	12	0	9.8	0.607	0.2	5.1	20.5	0.622	19.6	1.5	-1.1
162	Kenneth Faried\farieke01	29	HOU	25	13	24.4	0.603	0.7	12.9	21.8	0.622	20.4	1.3	-1.6
163	Derrick Favors\favorde01	27	UTA	76	70	23.2	0.600	1.2	11.8	21.8	0.624	19.4	1.8	1.5
164	Cristiano Felício\feliccr01	26	CHI	60	0	12.4	0.531	0.6	4.0	13.4	0.568	14.3	-2.0	-2.1
165	Raymond Felton\feltora01	34	OKC	33	0	11.5	0.481	1.6	4.3	11.2	0.505	16.6	-1.7	0.4
166	Terrance Ferguson\fergute01	20	OKC	74	74	26.1	0.552	1.0	6.9	6.4	0.566	10.6	-3.9	0.1
167	Yogi Ferrell\ferreyo01	25	SAC	71	3	15.0	0.511	1.9	5.9	12.7	0.550	16.3	-1.0	-0.4
